S.No,Job Title,Company Name,Company URL,Salary,Location,Experience,Description,Tags
460,Senior Manager - IT,Updater Services (UDS),https://www.naukri.com/updater-services-uds-jobs-careers-51615,Not disclosed,Chennai,6-11 Yrs,"Bachelors degree in IT, Computer Science, or related field Microsoft 365 Certified Team...","Office 365 admin, IT Infrastructure, Firewall Management, Software License Agreements, IT management, Software, Firewall, Administration"
461,Sap Abap Consultant,NTT DATA Business Solutions,https://www.naukri.com/ntt-data-business-solutions-jobs-careers-5934,Not disclosed,Chennai,7-12 Yrs,Roles & Responsibilities: Proficient in all RICEF objects in core ABAP E.g: Data Dictio...,"ECC, SAP ABAP, Support Process, Process, Consulting, SAP, Abap"
462,Angular Developer - Chennai,Tech Mahindra,https://www.naukri.com/thirdware-solutions-jobs-careers-10816,Not disclosed,Hybrid - Chennai,6-10 Yrs,Experience: 6 to 10 YearsLocation: ChennaiNotice Period: Immediate to 15 days Work Type...,"CSS, Jasmine, Javascript, HTML, Angular, Micro Frontend, Cypress, JSON"
463,Software Developer - Java and Spring Boot framework,Satven,https://www.naukri.com/satven-jobs-careers-6129,9-19 Lacs PA,Chennai,7-12 Yrs,Role & responsibilities : Bachelor's degree in Computer Science or a related field. 8+ ...,"Java, GCP, Spring Boot, Angular, Microservices, Boot, Spring, Software development"
464,System Administrator,Muthoot Finance,https://www.naukri.com/muthoot-finance-jobs-careers-1295512,Not disclosed,Chennai(Vadapalani),1-3 Yrs,"Roles and ResponsibilitiesProvide desktop support to end-users, troubleshooting hardwar...","Software Installation, System Administration, Network Printer Installation, Device Installation, OS Installation, Server Support, LAN Configuration, Hardware Networking"
465,Embedded C Developer,Larsen & Toubro (L&T),https://www.naukri.com/larsen-toubro-l-t-jobs-careers-22025,7-12 Lacs PA,Chennai,3-5 Yrs,BE / Btech/ME / Mtech in Electrical / Electronics Engineering . 3-5 years of experience...,"Embedded C, AUTOMOTIVE, Embedded Development, C, Development, Embedded systems"
466,Embedded C++ Developer,Larsen & Toubro (L&T),https://www.naukri.com/larsen-toubro-l-t-jobs-careers-22025,5.5-12 Lacs PA,Chennai,3-5 Yrs,"We OK for the C++ requirementAll that we want is like they should be good in C++, even ...","C++, Linux, RTOS, Freertos, Embedded Firmware Development, Embedded C++, Development, Embedded systems"
467,SharePoint  Engineer / Developer,BNP Paribas,https://www.naukri.com/bnp-paribas-jobs-careers-212044,Not disclosed,Hybrid - Chennai,4-8 Yrs,Role & responsibilities Ability to communicate effectively with IT teams as well as Bus...,"Share point, Spfx, Power Automate, SharePoint Online SPFx PowerShell Scripting Azure Power Automate REST APIs Power Apps SharePoint Admin SharePoint OOTB  C# Power BI, PowerShell Scripting, C#, Power BI, SharePoint OOTB"
468,EDU Manager,Alstom Transportation,https://www.naukri.com/alstom-transportation-jobs-careers-6912,Not disclosed,Chennai,2-6 Yrs,Your future roleTake on a new challenge and apply your comprehensive software developme...,"MATLAB, CAN, project management, software development, EDU Manager, Ethernet, MVB, RS232"
469,Engineer- Device driver development,Qualcomm,https://www.naukri.com/qualcomm-jobs-careers-31927,Not disclosed,Chennai,1-5 Yrs,To all Staffing and Recruiting Agencies Our Careers Site is only for individuals seekin...,"device drivers, yocto, bootloader, linux, c, dsp, jtag, board support package"
